SMILES,TDDFT_S1,TDDFT_T1
[2H][13C]1=[13C]([2H])c2c3ccc4ccccc4c3cc3cccc1c23,2.6654,1.7592
[2H][13C]1=[13C]([2H])c2c3ccccc3cc3c2c1cc1ccccc13,2.6283,1.6887
[2H]BC1CCC(COP(=O)(O)OP(=O)(O)OP(=O)(O)O)O1,4.9313,4.6751
[2H]BC1CC(O)C(COP(=O)([O-])OP(=O)([O-])OP(=O)([O-])[O-])O1,1.3604,1.359
[2H]BC1CC(O)C(COP(=O)(O)OP(=O)(O)OP(=O)(O)O)O1,4.6093,4.4
[2H]BC1CC(OP(OB)N(C)B(B)B)C(COC)O1,4.0546,3.2758
[2H]C1([2H])C([2H])([2H])C([2H])([2H])C([2H])([2H])C([2H])([2H])C1([2H])[2H],7.4579,7.3181
[2H]C1=C([2H])c2c([2H])c([2H])c([2H])c([2H])c2/C(=N/Nc2ccc(/N=N/c3ccccc3)cc2)C1=O,2.4959,1.439
[2H]c1c([2H])c2c([2H])c([2H])c3c([2H])c([2H])c4c([2H])c([2H])c5c([2H])c([2H])c([2H])c6c(c1[2H])c2c3c4c56,3.2012,2.025
[2H]c1c([2H])c([2H])c2c([2H])c3c([2H])c4c([2H])c5c([2H])c([2H])c([2H])c([2H])c5c([2H])c4c([2H])c3c([2H])c2c1[2H],1.9118,0.5949
[2H]C1=C([2H])C([2H])c2c3c4c(c([2H])c([2H])c5c([2H])c6c([2H])c([2H])c([2H])c([2H])c6c(c2=C1[2H])c45)C([2H])=C([2H])C3[2H],2.0807,0.5555
[2H]c1c([2H])c([2H])c2c(c1[2H])c1c([2H])c([2H])c([2H])c3c([2H])cc4cc5ccccc5c2c4c31,3.079,1.8744
[2H]c1c([2H])c([2H])c2c(c1[2H])c([2H])c1c([2H])c([2H])c3c([2H])c([2H])c([2H])c4c([2H])c([2H])c2c1c34,3.1423,1.8024
[2H]c1c([2H])c([2H])c2c(c1[2H])c([2H])c1c([2H])c([2H])c3c([2H])c4c([2H])c([2H])c([2H])c([2H])c4c4c([2H])c([2H])c2c1c34,3.0677,1.7261
[2H]c1c([2H])c([2H])c2c(c1[2H])c([2H])c1c([2H])c([2H])c3c(O)c([2H])c([2H])c4c([2H])c([2H])c2c1c43,3.0251,1.7578
[2H]c1c([2H])c([2H])c2c(c1[2H])c([2H])c([2H])c1c([2H])c3c(c([2H])c([2H])c4c([2H])c([2H])c([2H])c([2H])c43)c([2H])c12,3.3683,2.2444
[2H]c1c([2H])c([2H])c2c(c1[2H])c([2H])c([2H])c1cc3c(ccc4ccccc43)nc12,3.3336,2.3205
[2H]c1c([2H])c([2H])c([2H])c([2H])c1[2H],5.4094,3.7968
[2H]c1c([2H])c([2H])c(C(=C2C=CC(=[N+](C)C)C=C2)c2ccc(N(C)C)cc2)c([2H])c1[2H],2.5364,1.5243
[2H]c1c([2H])c([2H])c(/N=N/c2c(O)ccc3ccccc23)c([2H])c1[2H],2.4044,1.6124
[2H]C1=C(C=C)C(C)C(F)C(C)/C1=C\C,4.1839,2.1046
[2H]C1=C(C)C(C)C(F)C(C)C1=C,5.2212,2.8015
[2H]C([2H])([2H])C([2H])([2H])C([2H])([2H])[2H],8.4191,8.2254
[2H]C([2H])([2H])Cl,6.8704,6.2242
[2H]C([2H])([2H])C=O,4.1886,3.555
[2H]C([2H])([2H])C(=O)C([2H])([2H])[2H],4.418,3.7898
[2H]C([2H])([2H])O,6.4317,6.1392
[2H]C([2H])=C([2H])[2H],7.2008,4.0962
[2H]C([2H])=O,4.0077,3.3125
[2H]CC1=C(n2ccc(=O)[nH]c2=O)O[C@H](CO[Si](C)(C)C(C)(C)C)[C@H]1O[Si](C)(C)C(C)(C)C,4.2227,3.4317
[2H]C#C[2H],6.6828,4.9934
[2H]C=CC1=C(n2ccc(=O)[nH]c2=O)O[C@H](CO[Si](C)(C)C(C)(C)C)[C@H]1O[Si](C)(C)C(C)(C)C,3.8727,2.6152
[2H]C[C@H]1O[C@@H](N2C=C(/C=C/CNC)C(=O)NC2=C)C(O)[C@H]1O,3.4455,2.2622
[2H]C[C@H]1O[C@@H](n2cc(/C=C/CNC)c(=O)[nH]c2=O)[C@@H](O)C1O,3.7991,2.4345
[2H]C[C@H]1O[C@@H](n2cc(/C=C/CNC(=O)CCCN3c4cc(OC)c(/N=N/c5ccc(C)cc5)cc4C(C)=CC3(C)C)c(=O)[nH]c2=O)CC1O,2.6229,1.7637
[2H]C[C@H]1O[C@@H](n2cc(/C=C/CNC(=O)CCCN3c4cc(OC)c(/N=N/c5ccc(C)cc5)cc4C(C)=CC3(C)C)c(=O)[nH]c2=O)CC1OP(OCC[N+]#[C-])N(C(C)C)C(C)C,2.6175,1.7701
[2H]C[C@H]1O[C@@H](n2cc(/C=C/CNC(=O)CCCN3c4cc(OC)c(/N=N/c5ccc(C)cc5)cc4C(C)=CC3(C)C)c(=O)[nH]c2=O)C[C@H]1O,2.4868,1.7651
[2H]C[C@H]1O[C@@H](n2cc(/C=C/CNC(=O)CCCN3c4cc(OC)c(/N=N/c5ccc(C)cc5)cc4C(C)=CC3(C)C)c(=O)[nH]c2=O)C[C@H]1OP(OCC[N+]#[C-])N(C(C)C)C(C)C,2.6026,1.7074
[2H]C[C@H]1O[C@@H](n2cc(/C=C/CNC(=O)CCCN3c4cc(OC)c(/N=N/c5ccc(C)cc5C#N)cc4C(C)=CC3(C)C)c(=O)[nH]c2=O)CC1O,2.5224,1.631
[2H]C[C@H]1O[C@@H](n2cc(/C=C/CNC(=O)CCCN3c4cc(OC)c(/N=N/c5ccc(C)cc5C#N)cc4C(C)=CC3(C)C)c(=O)[nH]c2=O)CC1OP(OCC[N+]#[C-])N(C(C)C)C(C)C,2.5166,1.6375
[2H]C[C@H]1O[C@@H](n2cc(/C=C/CNC(=O)CCCN3c4cc(OC)c(/N=N/c5ccc(C)cc5C#N)cc4C(C)=CC3(C)C)c(=O)[nH]c2=O)C[C@H]1O,2.5117,1.6282
[2H]C[C@H]1O[C@@H](n2cc(/C=C/CNC(=O)CCCN3c4cc(OC)c(/N=N/c5ccc(C)cc5C#N)cc4C(C)=CC3(C)C)c(=O)[nH]c2=O)C[C@H]1OP(OCC[N+]#[C-])N(C(C)C)C(C)C,2.5173,1.6413
[2H]C[C@H]1O[C@@H](n2cc(/C=C/CNC(=O)CCCN3c4cc(OC)c(/N=N/c5ccc([N+](=O)[O-])cc5)cc4C(C)=CC3(C)C)c(=O)[nH]c2=O)CC1OP(OCC[N+]#[C-])N(C(C)C)C(C)C,2.4049,1.5166
[2H]C[C@H]1O[C@@H](n2cc(/C=C/CNC(=O)CCCN3c4cc(OC)c(/N=N/c5ccc([N+](=O)[O-])cc5C#N)cc4C(C)=CC3(C)C)c(=O)[nH]c2=O)CC1OP(OCC[N+]#[C-])N(C(C)C)C(C)C,2.1871,1.3901
[2H]C(C)=O,4.1888,3.5552
[2H]C#N,7.7725,5.8111
[2H]C(=O)C([2H])([2H])[2H],4.3184,3.6648
[2H]C(=O)NCCCOP(OB)N(C)B(B)B,4.0808,3.3026
[2H]C(=O)NCOP(OB)N(C)B(B)B,4.1016,3.323
[2H]N,6.619,6.0981
[2H]N[2H],6.6189,6.098
[2H]N([2H])[2H],6.6189,6.098
[2H]O,7.8243,7.1432
[2H]O[2H],7.8243,7.1432
[2H]OC,6.4317,6.1392
[2H]OC([2H])([2H])[2H],6.4317,6.1392
[2H]OCCCCCCOP(=O)(OCCCCNC(=O)C(F)(F)F)c1ccc2c(c1)C1(OC2=O)c2ccc(OC(=O)C(C)(C)C)cc2Oc2cc(OC(=O)C(C)(C)C)ccc21,3.7098,3.4881
[2H]S[2H],5.8072,5.3713
[3H]CCCCCc1nc(CCCC)c(CCCC)nc1CCCC,4.0612,3.4154
[3H]CCCCCc1nc(OCC)c(CCCC)nc1CCCC,4.3312,3.3266
[3H]CCCCC[n+]1c(CC)c(CC)c(/C=C2\Sc3c(CC)c(CC)c(CC)c(CC)c3N2CC)c2c(CC)c(CC)c(CC)c(CC)c21,2.4913,1.6191
[As]12[As]3[As]1[As]23,4.3883,3.7088
B1C=Cc2cc3c(cc2N1)C=CBN3,3.574,2.5712
B1C=Cc2cc3ccccc3cc2N1,3.4657,2.22
B1C=Cc2ccc3ccccc3c2N1,3.8478,2.6775
B1C=Cc2c(ccc3ccccc23)N1,3.8779,2.6418
B1NBNBN1,6.6549,6.0029
B1Nc2cccc3c2-n2c1ccc2BN3,3.8573,3.0963
B1Nc2ccccc2-c2ccccc21,4.168,3.0926
BB,3.2074,2.1894
BC1CCC(COP(=O)([O-])OP(=O)([O-])OP(=O)([O-])[O-])O1,2.775,2.7741
BC1CC(O)C(COP(=O)([O-])OP(=O)([O-])OP(=O)([O-])[O-])O1,1.4875,1.4596
BCC(=O)CCC[n+]1ccc(/C=C/c2cc3ccc(N(CC)CC)cc3oc2=O)cc1,2.3499,1.4026
BCC(=O)NCC[n+]1ccccc1/C=C/c1cc2ccc(N(CC)CC)cc2oc1=O,2.0044,1.5849
BCC(=O)NCC[n+]1ccc(/C=C/c2ccc(N(CC)CC)c3nonc23)cc1,2.5094,1.361
BCC(=O)N(CCNC(C)C)CC(=O)NCCN(CC(=O)NC(C)C)C(=O)CB,4.0054,3.9775
BCC(=O)OCC[n+]1c(/C=C/c2cc3ccc(N(CC)CC)cc3oc2=O)sc2ccccc21,2.3566,1.3574
BCC(=O)OCC[n+]1c(/C=C/c2ccc(N(CC)CC)c3nonc23)sc2ccccc21,2.5115,1.4135
BCC(=O)OCC[n+]1c(/C=C/c2nc3ccc(N(CC)CC)cc3oc2=O)sc2ccccc21,2.0285,0.889
BCC(=O)OCCN(C)c1ccc(/C=C/c2nc3ccc(N(C)C)cc3oc2=O)cc1,2.6058,1.5661
[BH3-][P+]1(c2ccccc2)c2ccccc2-c2sc3ccccc3c21,3.6555,2.467
BPPB,3.969,3.0507
Br,6.3961,5.7995
BrB(Br)Br,4.5592,4.4035
Brc1c2ccccc2c2ccc3cccc4ccc1c2c43,3.0428,1.7384
BrC1c2ccccc2-c2ccccc21,3.7847,2.8998
Brc1c2ccccc2c(Br)c2ccccc12,3.002,1.665
Brc1c2ccccc2c(-c2c3ccccc3c(-c3ccc4ccccc4c3)c3ccccc23)c2ccccc12,2.702,1.6943
Brc1c2ccccc2c(-c2cc3ccccc3c3ccccc23)c2ccccc12,3.0454,1.7009
