SMILES,TDDFT_S1,TDDFT_T1
c1cnc2c(c1)ccc1c(COCc3ccc(COCc4ccc5c(c4)-c4cnccc4[SiH2:2]5)c4ncsc34)ccnc12,3.9442,2.7984
CCOC(=O)C=c1sc2n(c1=O)C(c1ccc(OC)cc1)C1=C(N=2)C1=Cc1ccc(OC)cc1,1.399,1.0803
C(#Cc1ccc2c3ccccc3c3nccnc3c2c1)c1cccnc1,3.3027,2.4552
c1nc2nc3ncn(-c4ccc(-c5c6[nH]cnc6c(-c6ccc(-n7ccc8nc9ccoc9nc87)cc6)c6nc[nH]c56)cc4)c3nc2[nH]1,2.9491,2.3207
CCCCCCCCc1ccc(C2=C3C=CC(c4cccs4)=[N+]3[B-](F)(F)n3c2ccc3-c2cccs2)s1,2.1559,1.3967
CC(=O)c1ccn2c3c(c(-c4ccccc4)c2c1)CN(CCCNC(=O)CCC(=O)NCc1ccc(C2=NNC(C)=C4CCCCCCC24)cc1)C3=O,2.7903,1.9833
CCC1(CC)c2cc(C)sc2-c2sc(-c3cnc(-c4cc5c(s4)-c4sc(-c6ncc(C)c7nsnc67)cc4C5(CC)CC)c4nsnc34)cc21,1.499,0.8086
C1=Cc2nc1c(-c1ccccc1)c1ccc([nH]1)c(-c1ccccc1)c1nc(c(-c3ccc4[nH]c(-c5cccc6ccccc56)nc4c3)c3ccc([nH]3)c2-c2ccccc2)C=C1,2.1365,1.365
Cn1cnc2c(C#Cc3cccs3)cccc21,3.5808,2.2634
Cc1cc(-c2cccc3c2ccn3C)cc(C)c1-c1ccc(-c2ncccn2)cc1,3.3893,2.9049
Cc1cc(-c2ccc(-c3cc(C)c(-c4cccc5c(N(C)C)cccc45)cc3C)c3ccsc23)c(C)cc1-c1ccnnc1,3.5159,2.5785
CN1c2ccccc2Sc2cc(COCc3cncc4nccnc34)ccc21,2.3432,2.343
c1ccc2c(c1)c1ccncc1n2C1CCC(c2ccc3c(c2)sc2cc(C4CCC(c5ccc6c(c5)-c5cnccc5[SiH2:2]6)CC4)ccc23)CC1,3.7908,2.9461
O=[SH](=O)c1cccc(-c2ccc(-c3ccc4cnccc4c3)cc2)c1,3.8856,2.6253
CN(C)c1cccc2c(-c3ccc(-c4cnc5cc(-c6ccc(-c7cc8ccccc8s7)cc6)cnc5c4)cc3)cccc12,2.9345,2.393
CC1C=C(c2nc3cc4nc(-c5ccc6c(c5)C(C)c5ccccc5-6)oc4nc3o2)c2ccccc21,3.2937,2.2653
C(#CC1c2ccccc2-c2ccccc21)c1ccc2c(c1)[nH]c1ccccc12,3.843,2.8022
O=[SH](=O)c1cccc(C(c2ccccc2)c2ccnc3cnncc23)c1,3.2525,2.9135
CC1c2cc(-c3ccc(-c4ccc5c(c4)C(C)(C)c4cc(N(c6ccccc6)c6ccccc6)ccc4-5)c4nsnc34)ccc2-c2ccc(N(c3ccccc3)c3ccccc3)cc21,2.0697,1.6322
Cc1cc(-c2ccc3c(c2)[nH]c2ncccc23)c(C)cc1-c1cnc2cccnc2c1,3.5137,2.8157
Cn1ccc2c(CSCc3cnc4c(c3)[SiH2:2]c3cc(CSCc5cnc6c(c5)-c5cccnc5[SiH2:2]6)cnc3-4)cccc21,3.2674,2.894
c1ccc2c(c1)[nH]c1cc(COCn3cnnc3)ccc12,4.0112,3.1372
c1cnc2c(c1)[CH2:2]c1c(-c3cncs3)ccnc1[SiH2:2]2,4.0569,3.1209
C(=Cc1cocn1)c1cnoc1,4.316,2.3961
C(=Cc1ccnc2ncccc12)c1ncncn1,3.3055,2.2586
CC1=C(/C=C/S(=O)(=O)O)C(C)=[N+]2C1=Cc1c(C)cc(C)n1[B-]2(F)F,2.8315,1.5314
CN(C)c1ccc2cc(C#Cc3c4ncoc4cc4ncoc34)ccc2c1,2.9481,2.1015
CCOC1=C(C)C2=C(c3cccc(OC)c3O)c3c(C)c(OCC)c(C)n3[B-](F)(F)[N+]2=C1C,2.7475,1.4278
C1=C(c2ccc(-c3cnc4cc(-c5ccc(-c6ccc7cnc8ccccc8c7c6)cc5)cnc4c3)cc2)Cc2ccccc21,2.0057,1.2406
CN1c2ccccc2Sc2cc(C3CCC(c4cccc5sccc45)CC3)ccc21,3.7302,3.1044
CC1c2ccccc2-c2ccc(C=Cc3ccc(C#N)c(C#N)c3C#N)cc21,2.8094,1.8528
Cc1cc(C)c(-c2cnc3cc(-c4c(C)cc(C)c(-c5cocn5)c4C)cnc3c2)c(C)c1-c1ccc2c(c1)C(C)c1ccccc1-2,3.649,2.9551
c1ccc(C(c2nc3ccccc3o2)c2ccnc3c2ccc2cccnc23)cc1,3.9076,2.7821
CN1c2ccccc2Oc2cc(C(c3ccccc3)c3ccc4c(=O)cc[nH]c4c3)ccc21,3.4067,2.9042
c1ccc2c(c1)nnn2-c1nnn[nH]1,4.2938,3.1127
CN(C)c1cccc2c(-c3ccc(-c4ccnc5c4ccc4c(-c6ccc(-c7cccc8c(N(C)C)cccc78)cc6)ccnc45)cc3)cccc12,3.3608,2.5029
Cc1cc(-c2ccc3c(c2)oc2cc(-c4cc(C)c(-c5coc6ccccc56)cc4C)ccc23)c(C)cc1-c1ccc2c(c1)Oc1ccccc1O2,3.6351,2.8512
C(#Cn1c2ccncc2c2cnccc21)c1cnc2cnccc2c1,3.6189,2.538
O=P(OCCC(CCOP(=O)(OCc1ccccc1)OCc1ccccc1)c1c2nc(cc3ccc([nH]3)c(-c3ccccc3)c3nc(cc4ccc1[nH]4)C=C3)C=C2)(OCc1ccccc1)OCc1ccccc1,2.2012,1.4233
CN(C)c1ccc(COCc2cc(C#N)c3ccccc3c2C#N)cc1,2.3186,2.2598
c1ccc(C(c2ccc3c(c2)-c2cccnc2[SiH2:2]3)c2cncc3c2[SiH2:2]c2c-3cncc2C(c2ccccc2)c2ccc3cnc4ccccc4c3c2)cc1,3.8749,2.8161
O=C1C=CC(=O)c2c1cccc2C1CCC(c2nc3ccccc3o2)CC1,2.6747,2.2268
Fc1c(F)c(F)c(C=Cn2cnc3nc4nc[nH]c4cc32)c(F)c1F,3.6836,2.5343
Cc1cc(-n2cnc3cc4nc[nH]c4cc32)c(C)cc1-c1ccc(C#N)c(C#N)c1,2.8574,2.7694
O=C1NC(=O)C(C(c2ccccc2)n2cnc3nc4nc[nH]c4cc32)=C1C(c1ccccc1)c1ccc(-c2cc3c4c(c2)CCCN4CCC3)cc1,1.4497,1.3948
CCc1ccc2c(c1)C(C)(CC)c1cc(-c3ccc(C)c4nsnc34)ccc1-2,2.6591,1.8908
CC(C)(C)c1cc(N=Nc2cc(C(C)(C)C)cc(C(C)(C)C)c2O)c(O)c(C(C)(C)C)c1,2.7392,1.9171
CN(C)c1ccc(C2CC(c3ccc(C#N)c(C#N)c3C#N)CC(c3ccccc3)(c3ccccc3)C2)cc1,2.338,2.3377
Cc1cc(-c2ccc3c(c2)sc2ccccc23)cc(C)c1-c1c2ccoc2cc2ccoc12,3.8762,2.7688
CN(C)c1cccc2c(C=Cc3ccnnc3)cccc12,2.8753,2.0518
CN(C)c1ccc2cc(C3CCC(c4ccc(C5CCC(c6ccc(-n7cnc8ccccc87)cc6)CC5)c5ncoc45)CC3)ccc2c1,3.6353,2.5971
Cc1cc(-n2nnc3ccccc32)cc(C)c1-c1ccc2c(c1)[nH]c1ccccc12,4.0171,3.1181
Cc1cc(-c2ccnc3c2[CH2:2]c2cccnc2[SiH2:2]3)cc(C)c1-c1nnc(-c2cc(C)c(-n3cnc4ccccc43)c(C)c2)n1C,4.1398,3.2363
COC[C@@H]1COc2c(/C=C(\C#N)C(=O)O)sc(-c3ccc(N(c4ccccc4)c4ccccc4)cc3)c2O1,2.3978,1.662
Cc1c(C)c(-c2c3ccoc3cc3ccoc23)c(C)c(C)c1-c1cccc2ccccc12,4.1284,2.6855
COc1ccc2n1[B-](F)(F)[N+]1=C(N(CCN(Cc3ccccn3)Cc3ccccn3)Cc3ccccn3)C=CC1=C2c1c(C)cc(C)cc1C,2.7017,1.3338
c1ccc(C(c2ccc3c(c2)Cc2cc(C(c4ccccc4)n4cnc5cc6nc[nH]c6cc54)ccc2-3)n2ccc3ccccc32)cc1,3.738,2.9845
c1ccc(-c2ccc(CSCn3c4ccccc4c4ccncc43)cn2)nc1,3.8242,3.0364
c1ccc(C2(c3ccccc3)CC(c3cocn3)CC(c3ccc(C4CC(c5ccc6c7ccccc7c7nccnc7c6c5)CC(c5ccccc5)(c5ccccc5)C4)c4sccc34)C2)cc1,3.478,2.8315
Cc1cccc2c3cccc(C)c3n(-c3ccc(-c4ccc(-c5ccc(-n6c7c(C)cccc7c7cccc(C)c76)c6nsnc56)c5c4C(=O)C=CC5=O)c4nsnc34)c12,1.5185,1.5179
F[B-]1(F)n2c(C3CCCCC3)cc(C3CCCCC3)c2C(c2ccccc2)=C2C(C3CCCCC3)=CC(C3CCCCC3)=[N+]21,2.8841,1.5426
Cc1cc(C)c(-n2cnc3nc4nc[nH]c4cc32)c(C)c1-c1ccc2sc3ncccc3c2c1,3.9403,3.1174
Cc1cccc2c1[nH]c1ccc(C(c3ccccc3)c3c(C#N)cc(C#N)c(C(c4ccccc4)c4cc5nc6ccoc6nc5o4)c3C#N)cc12,2.7423,2.663
Cc1cc(-c2cncc3c2[SiH2:2]c2ccncc2-3)cc(C)c1-c1ccc2c(c1)-c1ccncc1[SiH2:2]2,3.875,2.9577
C(#Cc1cc2ccccc2s1)c1ccc2c(c1)[nH]c1ccccc12,3.3558,2.2151
