,SMILES,xTB_S1,xTB_T1,T1S1ratio
458924,CN(C)c1ccc2cc(F)cc-2cc1,2.6990990755694475,1.9782711612319204,0.7329375861516128
174551,n12c3-c4c([C](C1=O)c1cnc(cc1)N(=O)=O)c1c(n4C(=O)[C](c3c3c2ccc(c3)N(=O)=O)c2ccc(nc2)N(=O)=O)ccc(c1)N(=O)=O,2.3227611058663165,1.2309848686687153,0.5299661965062898
115246,FC(Cl)(Cl)[C](CC(Br)(Br)C(Cl)(Cl)C(Br)(Br)CBr)C1=C([C](CC(Br)(Br)C(Cl)(Cl)C(Br)(Br)CBr)C(F)(Cl)Cl)C1=C(CC(Br)(Br)C(Cl)(Cl)C(Br)(Br)CBr)C(F)(Cl)Cl,2.8526485936992665,1.7263411592934617,0.6051713355463708
402683,Oc1cc(F)cc2cocc12,3.765712889088132,2.163539521219298,0.5745365047581201
54138,FCC(F)(F)C(F)(F)C(Cl)(Cl)CC1=CC(Br)=C(CC(Cl)(Cl)C(F)(F)C(F)(F)CF)C=C1Br,4.670192268126927,3.57616945771793,0.7657435181254804
485368,O=C(C1=CC(C(=O)c2ccccc2)CC(n2c3cc(-c4ccc(-c5ccccc5)s4)ccc3c3ccc(-c4ccc(-c5ccccc5)s4)cc32)=C1)c1ccccc1,2.718844834689386,2.0456366757369473,0.7523918429021534
310825,O=[N+]([O-])c1ccc2ccc3c(O)cccc3c2c1,3.0405687260805605,2.2880319233467903,0.7525013013917872
128354,ClC(Cl)C(CCCC(Br)Br)=C1C(=C(CCCC(Br)Br)C(Cl)Cl)C(=C(CCCC(Br)Br)C(Cl)Cl)C1=C(CCCC(Br)Br)C(Cl)Cl,2.757789569624925,1.3047141400758897,0.4731014122492813
276552,N#Cc1ccc2nccnc2c1C(F)(F)F,3.271251219805886,2.5482963545113533,0.7789974487690272
347690,O=C(O)c1nccc2c(F)c3ccncc3cc12,3.0423966648539347,1.7952972638504536,0.5900930948912428
276565,N#Cc1ccc2nc([N+](=O)[O-])cnc2c1,3.220668971590565,2.3684487223342647,0.7353903003463838
508908,c1ccc(-c2cc(-c3ccccc3)cc(-c3ccc4c(c3)C(c3ccccc3)(c3ccccc3)c3cccc5c6cc(-c7nc(-c8ccccc8)nc(-c8ccccc8)n7)ccc6n-4c35)c2)cc1,3.1072719032576095,2.634873960825531,0.8479701947110504
450263,COc1c2onnc2cc2ccnc(O)c12,3.158102757180516,2.0026247834418784,0.6341227431211824
63625,BrC1=C(CCC(Br)(Br)C(Br)(Br)C(Br)(Br)C(Br)(Br)Br)C=C(Br)C(CCC(Br)(Br)C(Br)(Br)C(Br)(Br)C(Br)(Br)Br)=C1,3.37477738355782,3.2360915062422047,0.9589051775707328
383597,Nc1cnc2c3ccccc3c3c([N+](=O)[O-])cccc3c2c1,3.095308913297641,2.435506357088047,0.7868378973823773
225950,Cc1ccc2c(Cl)c3cc(C)ccc3c(Cl)c2c1,3.0691597212377086,1.6824101058722014,0.5481663577918099
561503,Cc1nc(Cn2c3ccccc3c3c4ccccc4c4sc5ccccc5c4c32)c2c(n1)[O]c1ccccc1C2,3.19464672038805,2.614495620978891,0.8183989811121624
64175,FCC(Cl)(Cl)CCCCC1=CC=C(CCCCC(Cl)(Cl)CF)C=C1,4.792578256204481,3.695900305631915,0.7711716132850194
29116,CC1=CC(=C(C(=N1)OC)C)OC,4.95775643141793,3.813000724414773,0.7690980339920099
178767,CC1C2C=Cc3c(cccc3N(=O)=O)N2C=CC1=O,2.5767163505735113,1.523618090231643,0.5913022168282218
171902,n12c3-c4c([C](C1=O)c1ccc(nc1)F)c1c(n4C(=O)[C](c3c3c2cc(cn3)N(=O)=O)c2cnc(cc2)F)cc(cn1)N(=O)=O,2.0554565025028544,0.936088424145501,0.4554163140916192
346764,CN(C)c1cnc2cc(C(F)(F)F)c3cccnc3c2c1,3.1696406235342134,2.208758152712986,0.6968481336064452
535102,C=Cc1cccc(CCCCCc2cc(-c3ccc(N(c4ccccc4)c4cccc5ccccc45)s3)c(CCCCCCCCC)cc2-c2ccc(N(c3ccccc3)c3cccc4ccccc34)s2)c1,3.0951300744765904,2.371426338560285,0.7661798636883819
53544,FC(F)(CC(F)(F)C(Cl)(Cl)C1=CC(Br)=C(C(Cl)(Cl)C(F)(F)CC(F)(F)C(Cl)Cl)C=C1Br)C(Cl)Cl,3.8803223063324026,3.0534469006417178,0.7869054835106649
484508,CC1(C)OB(c2ccc3c(c2)-c2ccccc2C32c3ccccc3-c3ccccc32)OC1(C)C,4.039962828495642,2.9550804479203285,0.7314622865034404
243629,NS(=O)(=O)c1ccc(N2N=C(c3ccc(O)cc3)CC2c2ccc(Cl)cc2)cc1,3.355716337685918,2.3376347919963387,0.6966127517227388
37435,C1C2=CC=CC=C2SCC(=S)N1,4.3159533846770515,3.4532903527997822,0.800122254577636
134193,FC(F)(C(=C1C(=C(C(Br)Br)C(F)(F)C(Br)(Br)C(Br)(Br)Br)C(=C(C(Br)Br)C(F)(F)C(Br)(Br)C(Br)(Br)Br)C1=C(C(Br)Br)C(F)(F)C(Br)(Br)C(Br)(Br)Br)C(Br)Br)C(Br)(Br)C(Br)(Br)Br,2.1534619063770384,1.131662830803326,0.5255086367918268
311879,N#Cc1cccc2c1ccc1c(S)cccc12,3.480420632246651,2.42163904274464,0.6957891871769087
63855,ClC(Cl)(CBr)CCC1=CC=C(CCC(Cl)(Cl)CBr)C=C1,4.569071777402651,3.688540463874252,0.8072844209007046
547944,Cc1cc(Oc2c(F)cc(COc3cc4n(c(=O)n3)C[C@H]3COCCN43)cc2F)ccn1,4.574154053441697,3.540146151027861,0.7739455448301253
503758,CC1(C)c2ccccc2-c2cccc(-n3c4ccccc4c4cc(-c5cccc(-c6ccccc6Br)c5)ccc43)c21,3.48874838451123,2.883007932243049,0.8263731328526163
122859,FC(F)(Br)CC(F)(F)C(CCl)=C1C(=C(CCl)C(F)(F)CC(F)(F)Br)C1=C(CCl)C(F)(F)CC(F)(F)Br,3.754306357921122,1.926247797822637,0.5130768813681101
212613,COc1ccc(cc1)C(C1=C([O-])OC(C)(C)OC1=O)C(F)(F)[P+](c1ccccc1)(c1ccccc1)c1ccccc1,3.78507294435299,2.9698111904490108,0.7846113494007345
22388,CC1=CC=C(N1C2=NC=C(C=C2)[C@H](CN)O)C,3.5786433585464232,3.103589061031156,0.8672529643445037
493716,CC(C)(CO)S(=O)(=O)c1c(Cl)ccc(NC(=O)N[C@@H]2CCC=C2Cl)c1O,4.248108317101736,3.207212537246394,0.7549742845150683
427484,N#Cc1cc2c(C(F)(F)F)c3nonc3cc2cn1,2.909452108393245,1.344518623157493,0.4621208987351258
